name,position,team,GW,minutes,goals_scored,assists,clean_sheets,saves,penalties_saved,penalties_missed,bonus,goals_conceded,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,team_standing,sched_strength,5_gw_fpl_pts
Dan Burn,DEF,Newcastle,11,84.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.4,11.0,4.4
Dane Scarlett,FWD,Spurs,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,8.8,0.0
Daniel Amartey,DEF,Leicester,11,28.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,12.2,6.0
Daniel Castelo Podence,MID,Wolves,11,84.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,17.2,9.4,2.0
Daniel Iversen,GK,Leicester,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,12.2,0.0
Daniel James,MID,Fulham,11,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.8,1.6
Danny Ings,FWD,Aston Villa,11,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,7.2,6.0
Danny Ward,GK,Leicester,11,90.0,0.0,0.0,0.5,2.75,0.0,0.0,0.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,12.2,7.4
Danny Welbeck,FWD,Brighton,11,90.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,11.4,1.2
Darko Gyabi,MID,Leeds,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.4,0.0
Darren Randolph,GK,West Ham,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,12.0,0.0
Darwin Núñez Ribeiro,FWD,Liverpool,11,36.333333333333336,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,13.4,5.4
David Brooks,MID,Bournemouth,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,12.6,0.0
David De Gea Quintana,GK,Man Utd,11,90.0,0.0,0.0,0.3333333333333333,2.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,9.2,4.2
David Raya Martin,GK,Brentford,11,90.0,0.0,0.0,0.5,3.25,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,11.4,4.0
Davinson Sánchez,DEF,Spurs,11,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,8.8,0.6
Dean Henderson,GK,Nott'm Forest,11,90.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,7.2,5.8
Declan Rice,MID,West Ham,11,90.0,0.25,0.0,0.25,0.0,0.0,0.0,0.75,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,16.8,12.0,2.2
Dejan Kulusevski,MID,Spurs,11,17.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,8.8,1.8
Dele Alli,MID,Everton,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,12.2,0.0
Demarai Gray,MID,Everton,11,87.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,12.2,2.2
Denis Zakaria,MID,Chelsea,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,5.4,0.0
Deniz Undav,FWD,Brighton,11,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,11.4,0.8
Dennis Praet,MID,Leicester,11,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,12.2,2.0
Diego Carlos Santos Silva,DEF,Aston Villa,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,7.2,0.0
Diego Da Silva Costa,FWD,Wolves,11,42.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,9.4,0.6
Diego Llorente,DEF,Leeds,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.4,0.2
Diogo Dalot Teixeira,DEF,Man Utd,11,90.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,2.3333333333333335,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.8,9.2,3.4
Diogo Teixeira da Silva,FWD,Liverpool,11,61.666666666666664,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.8,13.4,0.0
Djed Spence,DEF,Spurs,11,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,8.8,0.2
Dominic Calvert-Lewin,FWD,Everton,11,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,12.2,2.6
Dominic Solanke,FWD,Bournemouth,11,89.5,0.25,0.75,0.25,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,12.6,3.2
Dominic Thompson,DEF,Brentford,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,11.4,0.0
Donny van de Beek,MID,Man Utd,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,9.2,0.4
Douglas Luiz Soares de Paulo,MID,Aston Villa,11,79.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,7.2,3.0
Duje Caleta-Car,DEF,Southampton,11,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,8.2,2.4
Dwight Gayle,FWD,Newcastle,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,11.0,0.0
Dwight McNeil,MID,Everton,11,50.25,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,15.2,12.2,2.4
Eberechi Eze,MID,Crystal Palace,11,84.33333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,17.2,4.6
Ed Turns,DEF,Brighton,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,11.4,0.0
Eddie Nketiah,FWD,Arsenal,11,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.5
Ederson Santana de Moraes,GK,Man City,11,90.0,0.0,0.0,0.5,1.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.5,4.5
Edouard Mendy,GK,Chelsea,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,5.4,1.2
Eldin Jakupovic,GK,Everton,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,12.2,0.0
Ellery Balcombe,GK,Brentford,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,11.4,0.0
Elliot Anderson,MID,Newcastle,11,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,11.0,0.4
Emerson Leite de Souza Junior,DEF,Spurs,11,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,3.6,8.8,0.4
Emerson Palmieri dos Santos,DEF,West Ham,11,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,12.0,0.0
Emil Krafth,DEF,Newcastle,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,11.0,0.0
Emile Smith Rowe,MID,Arsenal,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0
Emiliano Buendía Stati,MID,Aston Villa,11,40.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,7.2,2.0
Emiliano Marcondes,MID,Bournemouth,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,12.6,0.0
Emiliano Martínez Romero,GK,Aston Villa,11,90.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,7.2,2.6
Emmanuel Dennis,FWD,Nott'm Forest,11,42.25,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,19.4,7.2,1.2
Enock Mwepu,MID,Brighton,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,11.4,0.0
Eric Bailly,DEF,Man Utd,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,9.2,0.0
Eric Dier,DEF,Spurs,11,90.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,1.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.6,8.8,1.0
Erling Haaland,FWD,Man City,11,90.0,1.25,0.5,0.5,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.5,4.75
Ethan Ampadu,DEF,Chelsea,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,5.4,0.0
Ethan Nwaneri,MID,Arsenal,11,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0
Ethan Pinnock,DEF,Brentford,11,45.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,1.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,8.8,11.4,2.2
Evan Ferguson,FWD,Brighton,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,11.4,0.0
Ezri Konsa Ngoyo,DEF,Aston Villa,11,90.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,12.4,7.2,2.2
Fabian Schär,DEF,Newcastle,11,88.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,11.0,4.4
Fabio Henrique Tavares,MID,Liverpool,11,61.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.8,13.4,1.8
Fabio Silva,FWD,Wolves,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,9.4,0.0
Facundo Pellistri Rebollo,MID,Man Utd,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,9.2,0.0
Federico Fernández,DEF,Newcastle,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,11.0,0.0
Fin Stevens,DEF,Brentford,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,11.4,0.0
Flynn Downes,MID,West Ham,11,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,12.0,1.6
Francisco Jorge Tomás Oliveira,MID,Wolves,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,9.4,0.0
Frank Onyeka,MID,Brentford,11,32.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,11.4,1.2
Fraser Forster,GK,Spurs,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,8.8,0.0
Frederico Rodrigues de Paula Santos,MID,Man Utd,11,36.666666666666664,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,9.2,2.2
Frédéric Guilbert,DEF,Aston Villa,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,7.2,0.0
Fábio Ferreira Vieira,MID,Arsenal,11,29.5,0.25,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,2.0
Fábio Freitas Gouveia Carvalho,MID,Liverpool,11,20.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,13.4,0.8
Gabriel Fernando de Jesus,FWD,Arsenal,11,85.0,0.5,0.25,0.5,0.0,0.0,0.0,0.75,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,3.75
Gabriel Martinelli Silva,MID,Arsenal,11,86.75,0.25,0.5,0.5,0.0,0.0,0.0,0.5,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,4.75
Gabriel dos Santos Magalhães,DEF,Arsenal,11,90.0,0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,7.0
Gavin Bazunu,GK,Southampton,11,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,8.2,2.6
Gianluca Scamacca,FWD,West Ham,11,62.5,0.5,0.0,0.25,0.0,0.0,0.0,1.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,16.8,12.0,1.2
Giulian Biancone,DEF,Nott'm Forest,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,7.2,0.2
Gonçalo Manuel Ganchinho Guedes,MID,Wolves,11,42.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,9.4,2.2
Granit Xhaka,MID,Arsenal,11,90.0,0.25,0.25,0.5,0.0,0.0,0.0,0.5,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,4.25
Hakim Ziyech,MID,Chelsea,11,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,5.4,0.4
Halil Dervişoğlu,FWD,Brentford,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,11.4,0.0
Hamza Choudhury,MID,Leicester,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,12.2,0.0
Harrison Ashby,DEF,West Ham,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,12.0,0.0
Harrison Reed,MID,Fulham,11,73.75,0.25,0.0,0.0,0.0,0.0,0.0,0.75,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.8,4.0
Harry Arter,MID,Nott'm Forest,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,7.2,0.0
Harry Kane,FWD,Spurs,11,89.75,1.0,0.25,0.5,0.0,0.0,0.0,1.5,1.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.6,8.8,6.0
Harry Maguire,DEF,Man Utd,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,9.2,1.2
Harry Toffolo,DEF,Nott'm Forest,11,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,7.2,0.2
Harry Wilson,MID,Fulham,11,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.8,2.0
Harry Winks,MID,Spurs,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,8.8,0.0
Harvey Barnes,MID,Leicester,11,88.5,0.25,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,12.2,6.8
Harvey Davies,GK,Liverpool,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,13.4,0.0
Harvey Elliott,MID,Liverpool,11,37.333333333333336,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,13.4,2.2
Harvey Vale,MID,Chelsea,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,5.4,0.0
Harvey White,MID,Spurs,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,8.8,0.0
Haydon Roberts,DEF,Brighton,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,11.4,0.0
Hugo Bueno López,DEF,Wolves,11,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,9.4,1.8
Hugo Lloris,GK,Spurs,11,90.0,0.0,0.0,0.5,3.75,0.0,0.0,0.75,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,8.8,1.8
Hwang Hee-chan,MID,Wolves,11,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,9.4,0.8
Ibrahima Diallo,MID,Southampton,11,37.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,8.2,0.8
Ibrahima Konaté,DEF,Liverpool,11,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,13.4,0.4
Idrissa Gueye,MID,Everton,11,83.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,15.2,12.2,2.0
Ilkay Gündogan,MID,Man City,11,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.5,2.5
Illan Meslier,GK,Leeds,11,90.0,0.0,0.0,0.3333333333333333,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.4,2.2
Issa Diop,DEF,Fulham,11,56.25,0.25,0.0,0.0,0.0,0.0,0.0,0.5,1.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.8,3.0
Ivan Neves Abreu Cavaleiro,MID,Fulham,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.8,0.0
Ivan Perišić,DEF,Spurs,11,56.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5,1.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.6,8.8,1.6
Ivan Toney,FWD,Brentford,11,90.0,0.75,0.0,0.5,0.0,0.0,0.0,0.75,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,8.8,11.4,3.6
Jack Butland,GK,Crystal Palace,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,17.2,0.0
Jack Colback,MID,Nott'm Forest,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,7.2,0.2
Jack Grealish,MID,Man City,11,45.5,0.25,0.0,0.25,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.5,2.5
Jack Harrison,MID,Leeds,11,81.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.4,1.8
Jack Stacey,DEF,Bournemouth,11,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,12.6,0.2
Jack Stephens,DEF,Bournemouth,11,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,12.6,1.4
Jackson Smith,GK,Wolves,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,9.4,0.0
Jacob Murphy,MID,Newcastle,11,58.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,11.0,2.4
Jacob Ramsey,MID,Aston Villa,11,76.25,0.25,0.0,0.5,0.0,0.0,0.0,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12.4,7.2,4.0
Jaden Philogene-Bidace,MID,Aston Villa,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,7.2,0.0
Jadon Sancho,MID,Man Utd,11,53.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,9.2,1.4
Jaidon Anthony,MID,Bournemouth,11,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,12.6,1.6
Jairo Riedewald,MID,Crystal Palace,11,11.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,17.2,0.4
Jakub Moder,MID,Brighton,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,11.4,0.0
Jamaal Lascelles,DEF,Newcastle,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,11.0,0.0
Jamal Lewis,DEF,Newcastle,11,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,11.0,0.0
Jamal Lowe,MID,Bournemouth,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,12.6,0.0
James Garner,MID,Everton,11,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,12.2,0.6
James Hill,DEF,Bournemouth,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,12.6,0.0
James Justin,DEF,Leicester,11,88.75,0.0,0.25,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,12.2,4.4
James Maddison,MID,Leicester,11,88.5,0.75,0.25,0.5,0.0,0.0,0.0,0.75,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,19.6,12.2,5.4
James McArthur,MID,Crystal Palace,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,17.2,0.0
James McAtee,MID,Man City,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.5,0.0
James Milner,MID,Liverpool,11,40.333333333333336,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,13.4,1.0
James Tarkowski,DEF,Everton,11,90.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,12.2,2.8
James Tomkins,DEF,Crystal Palace,11,15.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,17.2,0.0
James Ward-Prowse,MID,Southampton,11,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,16.2,8.2,2.8
