name,position,team,GW,minutes,goals_scored,assists,clean_sheets,saves,penalties_saved,penalties_missed,bonus,goals_conceded,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,team_standing,sched_strength,5_gw_fpl_pts
Andreas Hoelgebaum Pereira,MID,Fulham,5,83.6,0.0,0.4,0.2,0.0,0.0,0.0,0.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,11.0,2.75
Andrew Robertson,DEF,Liverpool,5,74.8,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,7.333333333333333,0.3333333333333333
Andros Townsend,MID,Everton,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.5,0.0
André Tavares Gomes,MID,Everton,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.5,0.0
Angelo Ogbonna,DEF,West Ham,5,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.25,0.25
Anthony Elanga,MID,Man Utd,5,42.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.666666666666667,0.0
Anthony Gordon,MID,Everton,5,90.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,1.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.5,1.75
Anthony Knockaert,MID,Fulham,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,11.0,0.0
Anthony Martial,FWD,Man Utd,5,9.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.666666666666667,4.666666666666667
Antonee Robinson,DEF,Fulham,5,90.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,9.6,11.0,0.5
Anwar El Ghazi,MID,Aston Villa,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,8.25,0.0
Archie Gray,MID,Leeds,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,14.333333333333334,0.0
Armando Broja,FWD,Chelsea,5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,15.0,2.3333333333333335
Armel Bella-Kotchap,DEF,Southampton,5,72.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,1.0
Armstrong Oko-Flex,MID,West Ham,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.25,0.0
Arthur Masuaku,DEF,West Ham,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.25,0.0
Ashley Young,DEF,Aston Villa,5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,14.4,8.25,6.5
Asmir Begović,GK,Everton,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.5,2.25
Aymeric Laporte,DEF,Man City,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,12.75,0.0
Ayoze Pérez,MID,Leicester,5,19.8,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,9.5,0.25
Ben Chilwell,DEF,Chelsea,5,20.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,15.0,4.0
Ben Davies,DEF,Spurs,5,44.5,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.8,8.25,0.8571428571428571
Ben Godfrey,DEF,Everton,5,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.5,0.0
Ben Johnson,DEF,West Ham,5,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.25,0.0
Ben Knight,MID,Man City,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,12.75,0.0
Ben Mee,DEF,Brentford,5,83.6,0.2,0.0,0.2,0.0,0.0,0.0,0.4,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,8.2,9.0,2.5
Ben Pearson,MID,Bournemouth,5,42.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,12.2,14.5,0.0
Benjamin White,DEF,Arsenal,5,78.4,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,6.25,3.25
Bernardo Veiga de Carvalho e Silva,MID,Man City,5,61.4,0.4,0.4,0.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,12.75,4.25
Bernd Leno,GK,Fulham,5,54.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,11.0,2.0
Bertrand Traoré,MID,Aston Villa,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,8.25,0.0
Billy Gilmour,MID,Chelsea,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,15.0,0.6666666666666666
Bobby Clark,MID,Liverpool,5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,7.333333333333333,0.0
Bobby De Cordova-Reid,MID,Fulham,5,90.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,1.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,9.6,11.0,3.75
Boubacar Kamara,MID,Aston Villa,5,86.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,14.4,8.25,0.75
Boubakary Soumaré,MID,Leicester,5,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,9.5,1.0
Braian Ojeda Rodríguez,MID,Nott'm Forest,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.75,0.0
Brandon Austin,GK,Spurs,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,8.25,0.0
Brandon Williams,DEF,Man Utd,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.666666666666667,0.0
